lambda,N0
0.959637495046292,6.07084380152794
0.479510670563862,7.53874270864196
0.478477952197046,8.6048095030912
0.218880665411409,7.85618204594536
1,5.50046234752346
0.258780516108011,5.39613911985276
0.085753026600321,6.0462638859684
0.428327626262681,5.45584928380949
0.0460870815122996,5.84177334661163
0.437658616763854,6.43152222708373
0.416125686885498,6.03712027853931
0.491383106909113,5.51095006665366
0.115237663402308,6.31482601362401
0.550123513079348,5.48706220039089
0.38338609220736,6.82167545931052
0.173630573248475,6.60843763485156
0.23031386228832,5.91256599555375
1,5.64255702501228
0.0753570550414599,7.27793214981505
0.37635101167326,7.51883349742186
0.33867562695218,6.75869613956181
0.46632318605545,6.14977437687153
0.200929360418018,7.10552798682185
0.559777978881576,7.13879498104055
0.155047232767982,5.96668316387899
0.203431031254509,6.16956678060308
0.577254997774689,7.07398924679329
0.200029913325091,5.83371766384864
1,5.3093952926883
0.252757340759248,7.0950618120441
0.306442836208712,5.4999878265843
0.0784947592396388,7.45370241136344
0.48525533422994,6.73565702437592
0.285231400270409,5.83562244968538
0.427164470157651,6.40434701160871
0.177810277804892,5.29371418996299
0.210948219420603,8.33738000273024
0.258259366757384,6.73637029519981
0.502822145954556,5.58720550217095
0.362540203900925,8.07863208597905
0.105913772898248,5.91300051360185
1,6.65461931629473
0.281421102171405,7.43513626842115
0.178313866897412,6.02505239433057
0.26470611574328,5.99059614158725
0.29590638561143,6.33994901051631
0.481981178677869,5.47694232248367
0.253823845963367,7.08487661736122
0.519522542571811,6.45817401630024
0.406181114805849,6.42552736849002
0.477859906519297,6.63391810845035
0.609658587153694,6.2993191992635
0.359270844222979,6.44169904759059
0.143376990509258,7.48017699845633
0.37901202243432,6.88426852305525
0.442906538708566,6.93919485953839
0.299542843978113,7.76108750363234
0.194882688179553,6.14647498779953
0.50327646204834,5.84875942316663
0.43534135392734,5.69993169162097
0.382534571649693,6.38598442356512
0.489411789688852,5.72735230732725
0.43726551379741,5.66557295461446
1,5.98069215699456
1,5.53901718156632
0.271691698482911,7.19156079949295
0.516256780092327,5.28698395338406
0.246861447206128,5.77967790921911
1,5.8666409170314
0.20412747688684,7.15747467532061
0.333224058943002,6.55926476306089
0.223555181668287,7.19684967423708
0.511700602341497,5.38296731217887
